regiao,estado,municipio,revenda,cnpj,endereco,rua,complemento,bairro,cep,produto,data,valor_venda,valor_compra,unidade_medida,bandeira
SE,SP,VALINHOS,AUTO POSTO APEX LTDA," 02.438.769/0001-11",RODOVIA FLAVIO DE CARVALHO,1618,,JD. ITAPUA,13273-000,GASOLINA ADITIVADA,02/12/2022,5,,R$ / litro,BRANCA
SE,SP,VALINHOS,AUTO POSTO APEX LTDA," 02.438.769/0001-11",RODOVIA FLAVIO DE CARVALHO,1618,,JD. ITAPUA,13273-000,GASOLINA,02/12/2022,4.9,,R$ / litro,BRANCA
SE,SP,VALINHOS,POSTO DOM PEDRO I 124 SUL LTDA," 01.122.986/0001-35",RODOVIA DOM PEDRO I,S/N,KM 124,CHACARA CONTENDAS,13273-609,ETANOL,02/12/2022,3.9,,R$ / litro,RAIZEN
SE,SP,VALINHOS,POSTO DOM PEDRO I 124 SUL LTDA," 01.122.986/0001-35",RODOVIA DOM PEDRO I,S/N,KM 124,CHACARA CONTENDAS,13273-609,GASOLINA ADITIVADA,02/12/2022,5.2,,R$ / litro,RAIZEN
SE,SP,VALINHOS,POSTO DOM PEDRO I 124 SUL LTDA," 01.122.986/0001-35",RODOVIA DOM PEDRO I,S/N,KM 124,CHACARA CONTENDAS,13273-609,GASOLINA,02/12/2022,4.9,,R$ / litro,RAIZEN
SE,SP,AMERICANA,POSTO GONCALVES DIAS LTDA," 03.569.099/0001-35",RUA GONCALVES DIAS,1180,,CENTRO,13465-140,ETANOL,01/12/2022,3.5,,R$ / litro,BRANCA
SE,SP,AMERICANA,POSTO GONCALVES DIAS LTDA," 03.569.099/0001-35",RUA GONCALVES DIAS,1180,,CENTRO,13465-140,GASOLINA,01/12/2022,4.6,,R$ / litro,BRANCA
SE,SP,AMERICANA,AMERICAMANIA - COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA," 08.308.313/0001-13",AVENIDA BRASIL,780,,VILA PARAISO,13465-770,ETANOL,01/12/2022,3.8,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AMERICAMANIA - COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA," 08.308.313/0001-13",AVENIDA BRASIL,780,,VILA PARAISO,13465-770,GASOLINA ADITIVADA,01/12/2022,5.2,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AMERICAMANIA - COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA," 08.308.313/0001-13",AVENIDA BRASIL,780,,VILA PARAISO,13465-770,GASOLINA,01/12/2022,5,,R$ / litro,RAIZEN
